"CDC_Ext_ID__c","Entity__c","Leadtime__c","Name","QtyLL__c","QtyUL__c","Schedule__c"
"1","CDC","30.0","a7X8A0000004x6w","-5.1","-1.0","MRC"
"2","LaMOT","5.0","a7X8A0000004x7M","0.0","0.3","MR"
"3","CDC","40.0","a7X8A0000004x7I","0.3","0.7","OTT"
"4","CDC","10.0","a7X8A0000004x6s","0.0","0.3","MR"
"5","LaMOT","0.0","a7X8A0000004x6o","0.0","9999.0","XX"
"6","CDC","40.0","a7X8A0000004x76","-10.1","-1.0","OT"
"7","LaMOT","40.0","a7X8A0000004x7X","0.3","0.7","MRT"
"8","CDC","40.0","a7X8A0000004x7B","-10.1","-1.0","OTC"
"9","LaMOT","10.0","a7X8A0000004x7c","0.3","0.7","OT"
"10","CDC","40.0","a7X8A0000004x7F","1.0","3.0","OTC"
