"CDC_Ext_ID__c","List_Price__c","Name","NumVal1__c","NumVal2__c","Price_Override__c","Price__c","Pricing_Element__c","Text1Val__c","Text2Val__c","Text3Val__c","Text4Val__c","Text5Val__c"
"3815","1154","a5e8A00000075GV","1.0","5.0","","1154.0","Component-Outlet","^FS2^FS3^FSS^","0200","S5","^005^050^051^",""
"3816","1419","a5e8A00000075Ga","1.0","499.0","","1419.0","Component-Outlet","KBI","0100","A1","^005^050^",""
"3817","2432","a5e8A00000075MA","1.0","499.0","","2432.0","Component-Midflange","^HXD^","0400","A1","020",""
"3818","108","a5e8A0000007MWS","","","","108.0","Eyebolt Price - Outlet","HPR","0300","D3","020",""
"3819","216","a5e8A0000007MYL","","","","216.0","Eyebolt Price - Midflange","HXD","0600","A1","020",""
"3820","108","a5e8A0000007N7g","","","","108.0","Eyebolt Price - Outlet","MXI","0200","D9","020",""
"3821","9277","a5e8A00000074ds","1.0","499.0","","9277.0","Component-Outlet","^UXI^UXD^MXI^STI^LXI^M9I^M9R^M9D^","0600","D3","007",""
"3822","3222","a5e8A00000074eI","1.0","499.0","","3222.0","Component-Outlet","^UXI^UXD^MXI^STI^LXI^M9I^M9R^M9D^","0600","J5","^005^050^",""
"3823","8258","a5e8A00000074f5","1.0","499.0","","8258.0","Component-Outlet","^UXI^UXD^MXI^STI^LXI^M9I^M9R^M9D^","0800","D6","002",""
"3824","947","a5e8A00000074mY","1.0","499.0","","947.0","Component-Outlet","^UXI^UXD^MXI^STI^LXI^M9I^M9R^M9D^","0100","D7","^005^050^",""
