"CDC_Ext_ID__c","CertificationId__c","Direction__c","Flag__c","KD__c","PressureRatio__c","PTC__c","SZC__c"
"","6","Pos","","0.474986","1.0E-4","1221B Fiberglass","06"
"","5","Pos","","0.474986","0.328797","1221B Fiberglass","06"
"","5","Pos","","0.476162","0.344199","1221B Fiberglass","06"
"","5","Pos","","0.477454","0.361115","1221B Fiberglass","06"
"","5","Pos","","0.477772","0.379779","1221B Fiberglass","06"
"","5","Pos","","0.477541","0.400478","1221B Fiberglass","06"
"","5","Pos","","0.476666","0.423563","1221B Fiberglass","06"
"","5","Pos","","0.474373","0.449472","1221B Fiberglass","06"
"","5","Pos","","0.470386","0.478758","1221B Fiberglass","06"
"","5","Pos","","0.46435","0.512125","1221B Fiberglass","06"
"","5","Pos","","0.456562","0.550493","1221B Fiberglass","06"
"","5","Pos","","0.447081","0.595074","1221B Fiberglass","06"
"","5","Pos","","0.427233","0.710088","1221B Fiberglass","06"
"","5","Pos","","0.415519","0.786049","1221B Fiberglass","06"
"","5","Pos","","0.403971","0.88021","1221B Fiberglass","06"
"","6","Pos","","0.39754","0.93629","1221B Fiberglass","06"
"","6","Vac","","0.376735","0.8525","1221B Fiberglass","06"
"","5","Vac","","0.376127","0.877084","1221B Fiberglass","06"
"","5","Vac","","0.376195","0.901667","1221B Fiberglass","06"
"","5","Vac","","0.376653","0.92625","1221B Fiberglass","06"
"","5","Vac","","0.375489","0.941","1221B Fiberglass","06"
"","5","Vac","","0.376312","0.950833","1221B Fiberglass","06"
"","5","Vac","","0.374749","0.960667","1221B Fiberglass","06"
"","5","Vac","","0.376463","0.9705","1221B Fiberglass","06"
"","5","Vac","","0.376639","0.980333","1221B Fiberglass","06"
"","5","Pos","","0.437092","0.647513","1221B Fiberglass","06"
"","5","Vac","","0.376509","0.982988","1221B Fiberglass","06"
"","5","Vac","","0.376299","0.98525","1221B Fiberglass","06"
"","5","Vac","","0.376462","0.987241","1221B Fiberglass","06"
"","5","Vac","","0.376591","0.990167","1221B Fiberglass","06"
"","5","Vac","","0.37693","0.991494","1221B Fiberglass","06"
"","5","Vac","","0.376665","0.995083","1221B Fiberglass","06"
"","5","Vac","","0.376628","0.995747","1221B Fiberglass","06"
"","6","Vac","","0.376628","0.996854","1221B Fiberglass","06"
