"Component_Part__c","Component_Scrap__c","Flag__c","ItemNo__c","Qty_per_Assembly__c","Scrap_Factor__c","Stucture_Element__c"
"[GPDS17]","0","","0500","[GPDS18]","0","PosPortWeight1"
"[GPDS19]","0","","0501","[GPDS20]","0","PosPortWeight2"
"[GPDS21]","0","","0502","[GPDS22]","0","PosPortWeight3"
"[GPDS23]","0","","0503","[GPDS24]","0","PosPortWeight4"
"[GPDS25]","0","","0504","[GPDS26]","0","PosPortWeight5"
"[GPDS27]","0","","0505","[GPDS28]","0","PosPortWeight6"
"[GPDS29]","0","","0506","[GPDS30]","0","PosPortWeight7"
"[GPDS31]","0","","0600","[GPDS32]","0","VacPortWeight1"
"[GPDS33]","0","","0601","[GPDS34]","0","VacPortWeight2"
"[GPDS35]","0","","0602","[GPDS36]","0","VacPortWeight3"
"[GPDS37]","0","","0603","[GPDS38]","0","VacPortWeight4"
"[GPDS39]","0","","0604","[GPDS40]","0","VacPortWeight5"
"[GPDS41]","0","","0605","[GPDS42]","0","VacPortWeight6"
"[GPDS43]","0","","0606","[GPDS44]","0","VacPortWeight7"
"[PosWtPalletFiberglassPartNo]","0","","0700","1","0","PosWtPalletFiberglass"
"[VacWtPalletFiberglassPartNo]","0","","0800","1","0","VacWtPalletFiberglass"
